registry_id,timestamp,p13_abs_kw,p30_abs_kw,first_membership_id
REG_000192,2010-07-01 07:30:00,-860.394979046028,-941.97310647994,CAL_000458
REG_000193,2010-07-01 07:30:00,-854.132229337,-962.291386337,CAL_000459
REG_000194,2010-07-01 07:30:00,-847.971930835774,3336.29292060866,CAL_000258
REG_000195,2010-07-01 07:30:00,-847.688837431539,-982.529048545805,CAL_000460
REG_000196,2010-07-01 07:30:00,-841.213352343966,-1002.86751030061,CAL_000461
REG_000197,2010-07-01 07:30:00,-834.704539903013,-1023.31064793575,CAL_000462
REG_000198,2010-07-01 07:30:00,-828.161142994007,-1043.8624098471,CAL_000463
REG_000199,2010-07-01 07:30:00,-821.581880513841,-1064.5268197744,CAL_000464
REG_000200,2010-07-01 07:30:00,-815.952812590957,3319.5346803526,CAL_000257
REG_000201,2010-07-01 07:30:00,-814.96544628908,-1085.30798019923,CAL_000465
REG_000202,2010-07-01 07:30:00,-808.310507955253,-1106.21007586507,CAL_000466
REG_000203,2010-07-01 07:30:00,-801.615705795163,-1127.23737742589,CAL_000467
REG_000204,2010-07-01 07:30:00,-794.879651533978,-1148.39424523064,CAL_000468
REG_000205,2010-07-01 07:30:00,-788.100927089,-1169.68513325,CAL_000469
REG_000206,2010-07-01 07:30:00,-784.693515298693,3303.17411694627,CAL_000256
REG_000207,2010-07-01 07:30:00,-780.019624674123,-1189.2722011247,CAL_000471
REG_000208,2010-07-01 07:30:00,-771.900948928463,-1208.94985266143,CAL_000472
REG_000209,2010-07-01 07:30:00,-763.743394677393,-1228.72173602927,CAL_000473
REG_000210,2010-07-01 07:30:00,-755.545430393598,-1248.59156326967,CAL_000474
REG_000211,2010-07-01 07:30:00,-754.162714551981,3287.19483574899,CAL_000255
REG_000212,2010-07-01 07:30:00,-747.305496965179,-1268.56311328224,CAL_000475
REG_000213,2010-07-01 07:30:00,-739.02200642264,-1288.64023491024,CAL_000476
REG_000214,2010-07-01 07:30:00,-730.693340622095,-1308.82685013214,CAL_000477
REG_000215,2010-07-01 07:30:00,-724.330746089849,3271.58131101114,CAL_000254
REG_000216,2010-07-01 07:30:00,-722.317849882279,-1329.12695736519,CAL_000478
REG_000217,2010-07-01 07:30:00,-713.893851572787,-1349.54463488714,CAL_000479
REG_000218,2010-07-01 07:30:00,-705.419628652,-1370.08404438,CAL_000480
REG_000219,2010-07-01 07:30:00,-695.169496465713,3256.31882865197,CAL_000253
REG_000220,2010-07-01 07:30:00,-689.236200104765,-1377.38563443114,CAL_000482
REG_000221,2010-07-01 07:30:00,-673.166995332382,-1384.6356893471,CAL_000483
REG_000222,2010-07-01 07:30:00,-666.652302229818,3241.39343349337,CAL_000252
REG_000223,2010-07-01 07:30:00,-657.208387260358,-1391.83584558029,CAL_000484
REG_000224,2010-07-01 07:30:00,-641.356832038573,-1398.98770203424,CAL_000485
REG_000225,2010-07-01 07:30:00,-638.753856861802,3226.79188055013,CAL_000251
REG_000226,2010-07-01 07:30:00,-625.608865603196,-1406.09282161472,CAL_000486
REG_000227,2010-07-01 07:30:00,-611.450124766737,3212.50159001691,CAL_000250
REG_000228,2010-07-01 07:30:00,-609.961100374556,-1413.15273271963,CAL_000487
REG_000229,2010-07-01 07:30:00,-594.410222081797,-1420.1689306716,CAL_000488
REG_000230,2010-07-01 07:30:00,-584.718261719,3198.51060563,CAL_000249
REG_000231,2010-07-01 07:30:00,-578.952986707698,-1427.14287909645,CAL_000489
REG_000232,2010-07-01 07:30:00,-563.586217547382,-1434.07601125023,CAL_000490
REG_000233,2010-07-01 07:30:00,-558.779082883466,3185.4243033756,CAL_000248
REG_000234,2010-07-01 07:30:00,-548.306802374976,-1440.96973129753,CAL_000491
REG_000235,2010-07-01 07:30:00,-533.352387683803,3172.59654884941,CAL_000247
REG_000236,2010-07-01 07:30:00,-533.111690712592,-1447.82541554368,CAL_000492
REG_000237,2010-07-01 07:30:00,-517.99789119628,-1454.64441362318,CAL_000493
REG_000238,2010-07-01 07:30:00,-508.419376605643,3160.01785770619,CAL_000246
REG_000239,2010-07-01 07:30:00,-502.962469033905,-1461.42804964661,CAL_000494
REG_000240,2010-07-01 07:30:00,-488.002543550104,-1468.17762330831,CAL_000495
REG_000241,2010-07-01 07:30:00,-483.962120705331,3147.67918480317,CAL_000245
REG_000242,2010-07-01 07:30:00,-473.11528581377,-1474.8944109568,CAL_000496
