timestamp,cell_index,cell_vertex_index_ccw,p13_abs_kw,p30_abs_kw,vertex_role,triangle_indices,primary_classes,binding_families,cell_area_kw2,cell_irredundant_facet_count,cell_convex,ac_certification_status
2010-07-01 07:30:00,17,0,452.1875,614.6875,PRODUCTION_CENTER,46,VMAX_BUS_13,VMAX,223345.254811318,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,17,1,2251.51557524,-592.419495542,ANGULAR_POLYGON_BOUNDARY,46,VMAX_BUS_13,VMAX,223345.254811318,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,17,2,2138.34844642,-268.245516092,ANGULAR_POLYGON_BOUNDARY,46,VMAX_BUS_13,VMAX,223345.254811318,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,18,0,452.1875,614.6875,PRODUCTION_CENTER,47,VMAX_BUS_13,VMAX,185741.385613333,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,18,1,2138.34844642,-268.245516092,ANGULAR_POLYGON_BOUNDARY,47,VMAX_BUS_13,VMAX,185741.385613333,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,18,2,2047.00272901,-0.100934777551,ANGULAR_POLYGON_BOUNDARY,47,VMAX_BUS_13,VMAX,185741.385613333,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,19,0,452.1875,614.6875,PRODUCTION_CENTER,48;49,VMAX_BUS_13,VMAX,159646.556080077,4,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,19,1,2047.00272901,-0.100934777551,ANGULAR_POLYGON_BOUNDARY,48;49,VMAX_BUS_13,VMAX,159646.556080077,4,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,19,2,2047.1875,0,ANGULAR_POLYGON_BOUNDARY,48;49,VMAX_BUS_13,VMAX,159646.556080077,4,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,19,3,1970.80144765,229.449590173,ANGULAR_POLYGON_BOUNDARY,48;49,VMAX_BUS_13,VMAX,159646.556080077,4,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,20,0,452.1875,614.6875,PRODUCTION_CENTER,50,VMAX_BUS_13,VMAX,268403.791718899,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
