timestamp,comparator,input_inward_physical_boundary_row_count,guard_truncation_input_count,duplicate_point_pair_count_at_tolerance,duplicate_point_tolerance_kw,duplicate_angle_group_count,duplicate_angle_nonselected_row_count,duplicate_angle_tolerance_deg,duplicate_angle_rule,polygon_vertex_count,zero_length_edge_count,self_intersection_count,orientation,is_simple,is_convex,production_center_location,contains_production_center,input_inward_inside_count,input_inward_boundary_count,input_inward_outside_count,all_input_inward_on_or_inside,polygon_area_kw2,construction_status,coordinate_semantics,units,center_p13_abs_kw,center_p30_abs_kw,s13_positive_kw,s13_negative_kw,s30_positive_kw,s30_negative_kw,ray_angle_convention
2011-11-14 19:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16247865.9112606,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,688.515625,943.984375,1599.765625,1599.765625,2305.390625,2305.390625,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-12-15 05:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,52,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,52,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,52,0,true,15989694.7117428,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,-124.375,-188.125,1583.125,1583.125,2268.4375,2268.4375,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2012-08-04 03:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,52,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,52,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,52,0,true,15989260.689368,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,-133.046875,-200.15625,1583.046875,1583.046875,2267.96875,2267.96875,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2012-08-05 23:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16205190.0455788,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,-25.703125,-50.625,1585.234375,1585.234375,2272.8125,2272.8125,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2012-08-24 12:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16214342.3706549,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,-75.15625,-119.6875,1584.21875,1584.21875,2270.625,2270.625,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2012-08-31 11:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16218622.043489,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,-91.40625,-142.109375,1583.90625,1583.90625,2269.921875,2269.921875,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2012-09-03 07:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16206594.9715994,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,216.953125,287.265625,1590.234375,1590.234375,2283.984375,2283.984375,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2012-10-15 13:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,52,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,52,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,52,0,true,15989566.1757782,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,-124.140625,-187.8125,1583.203125,1583.203125,2268.4375,2268.4375,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2013-04-07 02:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16196133.8020245,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,63.28125,73.359375,1587.03125,1587.03125,2276.953125,2276.953125,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2013-04-17 05:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,52,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,52,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,52,0,true,15989550.7764157,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,-171.875,-254.296875,1582.1875,1582.1875,2266.171875,2266.171875,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
