timestamp,search_kind,search_id,level,binding_class,maximum_constraint_violation_kw,inside_at_internal_enumeration_tolerance,interpretation
2010-07-02 17:30:00,RAY,20.000000,BASE,VMAX_BUS_13,-123.689611942057,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,200.000000,BASE,VMIN_BUS_18,-2.68571600872031,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,210.000000,BASE,VMIN_BUS_18,0,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,220.000000,BASE,VMIN_BUS_18,-2.19045279602778,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,225.000000,ADAPTIVE,VMIN_BUS_18,-5.66435116461264,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,230.000000,BASE,VMIN_BUS_33,-5.11528560064551,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,240.000000,BASE,VMIN_BUS_33,-0.173585507778625,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,250.000000,BASE,VMIN_BUS_33,-1.08171327530363,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,260.000000,BASE,VMIN_BUS_33,-6.71519088682612,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,270.000000,BASE,VMIN_BUS_33,-16.8580864155725,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,280.000000,BASE,VMIN_BUS_33,-32.7781320024175,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,290.000000,BASE,VMIN_BUS_33,-57.4469394933374,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,295.000000,ADAPTIVE,VMIN_BUS_33,-74.5140272295974,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
