duplicate_group_id,timestamp,p13_abs_kw,p30_abs_kw,evaluation_count,excess_evaluation_count,Vmin_spread_pu,Vmax_spread_pu,attempt_ids,provenance_combination
391,2012-08-31 11:30:00,800.0,0.0,2,1,0.0,0.0,4;16,AXIS|P13_POSITIVE|coarse_sweep|attempt1|FLAT_START || AXIS|P13_POSITIVE|doubling|attempt1|FLAT_START
392,2012-08-31 11:30:00,1600.0,0.0,2,1,0.0,0.0,5;26,AXIS|P13_POSITIVE|coarse_sweep|attempt1|FLAT_START || AXIS|P13_POSITIVE|doubling|attempt1|FLAT_START
393,2012-09-03 07:00:00,-1600.0,0.0,2,1,0.0,0.0,61;82,AXIS|P13_NEGATIVE|coarse_sweep|attempt1|FLAT_START || AXIS|P13_NEGATIVE|doubling|attempt1|FLAT_START
394,2012-09-03 07:00:00,-800.0,0.0,2,1,0.0,0.0,60;72,AXIS|P13_NEGATIVE|coarse_sweep|attempt1|FLAT_START || AXIS|P13_NEGATIVE|doubling|attempt1|FLAT_START
395,2012-09-03 07:00:00,-400.0,0.0,2,1,0.0,0.0,59;67,AXIS|P13_NEGATIVE|coarse_sweep|attempt1|FLAT_START || AXIS|P13_NEGATIVE|doubling|attempt1|FLAT_START
396,2012-09-03 07:00:00,0.0,-3200.0,2,1,0.0,0.0,173;194,AXIS|P30_NEGATIVE|coarse_sweep|attempt1|FLAT_START || AXIS|P30_NEGATIVE|doubling|attempt1|FLAT_START
397,2012-09-03 07:00:00,0.0,-1600.0,2,1,0.0,0.0,172;184,AXIS|P30_NEGATIVE|coarse_sweep|attempt1|FLAT_START || AXIS|P30_NEGATIVE|doubling|attempt1|FLAT_START
398,2012-09-03 07:00:00,0.0,-800.0,2,1,0.0,0.0,171;179,AXIS|P30_NEGATIVE|coarse_sweep|attempt1|FLAT_START || AXIS|P30_NEGATIVE|doubling|attempt1|FLAT_START
399,2012-09-03 07:00:00,0.0,0.0,4,3,0.0,0.0,7;62;118;174,AXIS|P13_NEGATIVE|coarse_sweep|attempt1|FLAT_START || AXIS|P13_POSITIVE|coarse_sweep|attempt1|FLAT_START || AXIS|P30_NEGATIVE|coarse_sweep|attempt1|FLAT_START || AXIS|P30_POSITIVE|coarse_sweep|attempt1|FLAT_START
400,2012-09-03 07:00:00,0.0,800.0,2,1,0.0,0.0,115;123,AXIS|P30_POSITIVE|coarse_sweep|attempt1|FLAT_START || AXIS|P30_POSITIVE|doubling|attempt1|FLAT_START
401,2012-09-03 07:00:00,0.0,1600.0,2,1,0.0,0.0,116;128,AXIS|P30_POSITIVE|coarse_sweep|attempt1|FLAT_START || AXIS|P30_POSITIVE|doubling|attempt1|FLAT_START
402,2012-09-03 07:00:00,0.0,3200.0,2,1,0.0,0.0,117;138,AXIS|P30_POSITIVE|coarse_sweep|attempt1|FLAT_START || AXIS|P30_POSITIVE|doubling|attempt1|FLAT_START
403,2012-09-03 07:00:00,216.953125,287.265625,52,51,0.0,0.0,225;226;275;324;374;423;472;521;570;620;669;718;767;816;865;913;962;1011;1060;1110;1160;1210;1259;1309;1359;1409;1459;1509;1558;1608;1657;1706;1755;1804;1845;1894;1943;1992;2042;2091;2140;2189;2230;2279;2329;2378;2428;2478;2527;2576;2625;2674,CENTER|TIER_1|independent_center_check|attempt1|FLAT_START || RAY|0.000000|coarse_sweep|attempt1|FLAT_START || RAY|10.000000|coarse_sweep|attempt1|FLAT_START || RAY|100.000000|coarse_sweep|attempt1|FLAT_START || RAY|105.000000|coarse_sweep|attempt1|FLAT_START || RAY|110.000000|coarse_sweep|attempt1|FLAT_START || RAY|115.000000|coarse_sweep|attempt1|FLAT_START || RAY|120.000000|coarse_sweep|attempt1|FLAT_START || RAY|125.000000|coarse_sweep|attempt1|FLAT_START || RAY|130.000000|coarse_sweep|attempt1|FLAT_START || RAY|135.000000|coarse_sweep|attempt1|FLAT_START || RAY|140.000000|coarse_sweep|attempt1|FLAT_START || RAY|145.000000|coarse_sweep|attempt1|FLAT_START || RAY|150.000000|coarse_sweep|attempt1|FLAT_START || RAY|155.000000|coarse_sweep|attempt1|FLAT_START || RAY|160.000000|coarse_sweep|attempt1|FLAT_START || RAY|165.000000|coarse_sweep|attempt1|FLAT_START || RAY|170.000000|coarse_sweep|attempt1|FLAT_START || RAY|180.000000|coarse_sweep|attempt1|FLAT_START || RAY|190.000000|coarse_sweep|attempt1|FLAT_START || RAY|20.000000|coarse_sweep|attempt1|FLAT_START || RAY|200.000000|coarse_sweep|attempt1|FLAT_START || RAY|210.000000|coarse_sweep|attempt1|FLAT_START || RAY|220.000000|coarse_sweep|attempt1|FLAT_START || RAY|230.000000|coarse_sweep|attempt1|FLAT_START || RAY|235.000000|coarse_sweep|attempt1|FLAT_START || RAY|240.000000|coarse_sweep|attempt1|FLAT_START || RAY|250.000000|coarse_sweep|attempt1|FLAT_START || RAY|260.000000|coarse_sweep|attempt1|FLAT_START || RAY|270.000000|coarse_sweep|attempt1|FLAT_START || RAY|280.000000|coarse_sweep|attempt1|FLAT_START || RAY|290.000000|coarse_sweep|attempt1|FLAT_START || RAY|295.000000|coarse_sweep|attempt1|FLAT_START || RAY|30.000000|coarse_sweep|attempt1|FLAT_START || RAY|300.000000|coarse_sweep|attempt1|FLAT_START || RAY|305.000000|coarse_sweep|attempt1|FLAT_START || RAY|310.000000|coarse_sweep|attempt1|FLAT_START || RAY|315.000000|coarse_sweep|attempt1|FLAT_START || RAY|320.000000|coarse_sweep|attempt1|FLAT_START || RAY|325.000000|coarse_sweep|attempt1|FLAT_START || RAY|330.000000|coarse_sweep|attempt1|FLAT_START || RAY|335.000000|coarse_sweep|attempt1|FLAT_START || RAY|340.000000|coarse_sweep|attempt1|FLAT_START || RAY|345.000000|coarse_sweep|attempt1|FLAT_START || RAY|350.000000|coarse_sweep|attempt1|FLAT_START || RAY|40.000000|coarse_sweep|attempt1|FLAT_START || RAY|50.000000|coarse_sweep|attempt1|FLAT_START || RAY|55.000000|coarse_sweep|attempt1|FLAT_START || RAY|60.000000|coarse_sweep|attempt1|FLAT_START || RAY|70.000000|coarse_sweep|attempt1|FLAT_START || RAY|80.000000|coarse_sweep|attempt1|FLAT_START || RAY|90.000000|coarse_sweep|attempt1|FLAT_START
