timestamp,axis_direction,search_id,final_feasible_search_coordinate_kw,final_violating_search_coordinate_kw,final_feasible_signed_pcc_coordinate_kw,final_violating_signed_pcc_coordinate_kw,axis_bracket_width_kw,bisection_steps,binding_mechanism,binding_bus,resolution_classification
2011-03-04 18:00:00,P13+,P13_POSITIVE,1729.375,1729.6875,1729.375,1729.6875,0.3125,9,BINDING_VMAX,13,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-03-04 18:00:00,P13-,P13_NEGATIVE,1447.96875,1448.125,-1447.96875,-1448.125,0.15625,9,BINDING_VMIN,18,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-03-04 18:00:00,P30+,P30_POSITIVE,2461.5625,2461.875,2461.5625,2461.875,0.3125,9,BINDING_VMAX,30,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-03-04 18:00:00,P30-,P30_NEGATIVE,2099.375,2099.6875,-2099.375,-2099.6875,0.3125,9,BINDING_VMIN,33,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-05-11 18:00:00,P13+,P13_POSITIVE,2248.4375,2248.75,2248.4375,2248.75,0.3125,9,BINDING_VMAX,13,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-05-11 18:00:00,P13-,P13_NEGATIVE,949.53125,949.6875,-949.53125,-949.6875,0.15625,9,BINDING_VMIN,18,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-05-11 18:00:00,P30+,P30_POSITIVE,3193.4375,3193.75,3193.4375,3193.75,0.3125,9,BINDING_VMAX,30,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-05-11 18:00:00,P30-,P30_NEGATIVE,1413.90625,1414.0625,-1413.90625,-1414.0625,0.15625,9,BINDING_VMIN,33,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2012-08-04 03:30:00,P13+,P13_POSITIVE,1450,1450.15625,1450,1450.15625,0.15625,9,BINDING_VMAX,13,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2012-08-04 03:30:00,P13-,P13_NEGATIVE,1716.09375,1716.25,-1716.09375,-1716.25,0.15625,10,BINDING_VMIN,18,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2012-08-04 03:30:00,P30+,P30_POSITIVE,2067.8125,2068.125,2067.8125,2068.125,0.3125,9,BINDING_VMAX,30,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2012-08-04 03:30:00,P30-,P30_NEGATIVE,2468.125,2468.4375,-2468.125,-2468.4375,0.3125,9,BINDING_VMIN,33,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-07-03 00:00:00,P13+,P13_POSITIVE,1646.5625,1646.875,1646.5625,1646.875,0.3125,9,BINDING_VMAX,13,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-07-03 00:00:00,P13-,P13_NEGATIVE,1527.1875,1527.34375,-1527.1875,-1527.34375,0.15625,9,BINDING_VMIN,18,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-07-03 00:00:00,P30+,P30_POSITIVE,2345,2345.625,2345,2345.625,0.625,8,BINDING_VMAX,30,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-07-03 00:00:00,P30-,P30_NEGATIVE,2208.4375,2208.75,-2208.4375,-2208.75,0.3125,9,BINDING_VMIN,33,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
