datetime,load_kw_mean,gc_customer_count,pv_shape_mean,gg_customer_count,load_multiplier,pv_profile,date,slot
2012-08-18 16:30:00,0.8464749163879604,299,0.03918094958116609,299,0.3035197332917604,0.04757020778662637,2012-08-18,33
2012-08-18 17:00:00,1.0170568561872906,299,0.0030143732359514093,299,0.3646851427680574,0.0036597980067737353,2012-08-18,34
2012-08-18 17:30:00,1.3268829431438112,299,0.00014809444604841027,299,0.4757791981963612,0.00017980379867961685,2012-08-18,35
2012-08-18 18:00:00,1.4357993311036787,299,3.455964325529543e-05,299,0.5148332473886819,4.195940701438089e-05,2012-08-18,36
2012-08-18 18:30:00,1.4356387959866221,299,4.260700935892751e-05,299,0.5147756844592085,5.172984090577508e-05,2012-08-18,37
2012-08-18 19:00:00,1.458361204013377,299,9.974997564697861e-05,299,0.5229232374350917,0.00012110801598638719,2012-08-18,38
2012-08-18 19:30:00,1.4010301003344483,299,9.83671060397403e-05,299,0.5023660762468972,0.0001194290522230955,2012-08-18,39
2012-08-18 20:00:00,1.3381404682274252,299,2.711741842176625e-05,299,0.4798157986256854,3.2923684666907414e-05,2012-08-18,40
2012-08-18 20:30:00,1.2588160535117068,299,0.00011826536634720779,299,0.4513725160996324,0.00014358784335851026,2012-08-18,41
2012-08-18 21:00:00,1.202066889632107,299,6.051919095397356e-05,299,0.4310240205307783,7.347730260582828e-05,2012-08-18,42
2012-08-18 21:30:00,1.1479130434782598,299,6.138107416879795e-05,299,0.4116061256550779,7.452372858721159e-05,2012-08-18,43
2012-08-18 22:00:00,1.0358127090301006,299,6.339495556556855e-05,299,0.37141041169486877,7.696881369939196e-05,2012-08-18,44
2012-08-18 22:30:00,0.8612040133779268,299,4.694244184690045e-05,299,0.3088011320709466,5.699355775037395e-05,2012-08-18,45
2012-08-18 23:00:00,0.7316254180601997,299,0.00014017021914655375,299,0.26233825416431794,0.00017018287003191278,2012-08-18,46
2012-08-18 23:30:00,0.646026755852843,299,0.00014454812025144504,299,0.2316452204780123,0.00017549814869297637,2012-08-18,47
2012-08-19 00:00:00,0.5380000000000001,299,0.00045632500491835527,299,0.19291016585319068,0.0005540313732629401,2012-08-19,0
2012-08-19 00:30:00,0.48888963210702313,299,0.0008934028460882681,299,0.17530070634511372,0.0010846944619742277,2012-08-19,1
2012-08-19 01:00:00,0.4576923076923077,299,0.001368661602676948,299,0.1641143103841127,0.0016617136012501354,2012-08-19,2
2012-08-19 01:30:00,0.42545150501672246,299,0.0016460423634336676,299,0.15255375538153437,0.0019984859502172056,2012-08-19,3
2012-08-19 02:00:00,0.4380468227424748,299,0.0020090076164244962,299,0.157070046889803,0.0024391677787249785,2012-08-19,4
2012-08-19 02:30:00,0.42008026755852834,299,0.002281175346392738,299,0.15062779569956952,0.0027696109049331094,2012-08-19,5
2012-08-19 03:00:00,0.3937123745819396,299,0.0024252409994097975,299,0.14117308453356037,0.00294452328256042,2012-08-19,6
2012-08-19 03:30:00,0.3930769230769234,299,0.0026091828035562053,299,0.1409452312710616,0.003167849923119884,2012-08-19,7
2012-08-19 04:00:00,0.387839464882943,299,0.002657999784226993,299,0.13906724069699114,0.0032271193879707654,2012-08-19,8
2012-08-19 04:30:00,0.42072909698996663,299,0.002705086047797045,299,0.15086044587285796,0.0032842875619396765,2012-08-19,9
2012-08-19 05:00:00,0.4300468227424753,299,0.0026581196581196586,299,0.15420149423771112,0.003227264928751253,2012-08-19,10
2012-08-19 05:30:00,0.4678729096989967,299,0.002667965609497398,299,0.16776475949488537,0.003239219053342486,2012-08-19,11
2012-08-19 06:00:00,0.5128026755852844,299,0.002539576365663322,299,0.18387518438125858,0.003083339650927731,2012-08-19,12
2012-08-19 06:30:00,0.6308561872909698,299,0.009846201462603392,299,0.22620552364277413,0.011954428223204078,2012-08-19,13
2012-08-19 07:00:00,0.718421404682274,299,0.060584110064536144,299,0.2576037032151295,0.07355612192010721,2012-08-19,14
2012-08-19 07:30:00,0.7862207357859531,299,0.14231449172014984,299,0.2819144470960702,0.17278626512487302,2012-08-19,15
2012-08-19 08:00:00,0.8553913043478261,299,0.2417438621032433,299,0.3067168743329297,0.29350502921247945,2012-08-19,16
2012-08-19 08:30:00,0.8936321070234114,299,0.34578960829002403,299,0.32042884382457715,0.4198286078477179,2012-08-19,17
2012-08-19 09:00:00,0.9018060200668898,299,0.4418131294971289,299,0.3233597563169321,0.5364122768260019,2012-08-19,18
2012-08-19 09:30:00,0.7740401337792637,299,0.5147553486982274,299,0.2775468598222744,0.6249725736260019,2012-08-19,19
