scope,timestamp,component_id,breakdown_dimension,breakdown_group,inward_boundary_point_count,newly_excluded_count,newly_excluded_fraction,sampled_ray_angular_coverage_before_deg,sampled_ray_angular_coverage_after_deg,retained_inward_ray_points_before,retained_inward_ray_points_after,retained_signed_axis_endpoints_before,retained_signed_axis_endpoints_after,delta_r_kw_count,delta_r_kw_min,delta_r_kw_q1,delta_r_kw_median,delta_r_kw_q3,delta_r_kw_max,delta_r_over_r_original_count,delta_r_over_r_original_min,delta_r_over_r_original_q1,delta_r_over_r_original_median,delta_r_over_r_original_q3,delta_r_over_r_original_max,delta_r_over_paired_boundary_bracket_count,delta_r_over_paired_boundary_bracket_min,delta_r_over_paired_boundary_bracket_q1,delta_r_over_paired_boundary_bracket_median,delta_r_over_paired_boundary_bracket_q3,delta_r_over_paired_boundary_bracket_max
PER_AFFECTED_TIMESTAMP,2011-05-16 07:30:00,ALL_NONCONVEX_VMAX_POCKETS_AT_TIMESTAMP,ALL,ALL,53,1,0.0188679245283019,349.999999999756,349.999999999756,49,49,4,3,1,0.0198371871899781,0.0198371871899781,0.0198371871899781,0.0198371871899781,0.0198371871899781,1,1.20746821078804e-05,1.20746821078804e-05,1.20746821078804e-05,1.20746821078804e-05,1.20746821078804e-05,1,0.0634789990079298,0.0634789990079298,0.0634789990079298,0.0634789990079298,0.0634789990079298
PER_TIMESTAMP_POCKET,2011-05-16 07:30:00,20110516T073000_C03,POCKET_BUS_CLASS,VMAX / bus 13,53,1,0.0188679245283019,349.999999999756,349.999999999756,49,49,4,3,1,0.0198371871899781,0.0198371871899781,0.0198371871899781,0.0198371871899781,0.0198371871899781,1,1.20746821078804e-05,1.20746821078804e-05,1.20746821078804e-05,1.20746821078804e-05,1.20746821078804e-05,1,0.0634789990079298,0.0634789990079298,0.0634789990079298,0.0634789990079298,0.0634789990079298
PER_AFFECTED_TIMESTAMP,2011-09-30 05:30:00,ALL_NONCONVEX_VMAX_POCKETS_AT_TIMESTAMP,ALL,ALL,52,3,0.0576923076923077,345.000000000059,329.999999999988,48,45,4,4,3,0.138685010498648,1.69819689808287,3.25770878566709,4.72734083857358,6.19697289148007,3,6.46420424610177e-05,0.000800918526441901,0.00153719501042278,0.0022285329415978,0.00291987087277282,3,0.645450800489179,4.25871327581467,7.87197575114016,11.60356886118,15.3351619712198
PER_TIMESTAMP_POCKET,2011-09-30 05:30:00,20110930T053000_C01,POCKET_BUS_CLASS,VMAX / bus 30,52,3,0.0576923076923077,345.000000000059,329.999999999988,48,45,4,4,3,0.138685010498648,1.69819689808287,3.25770878566709,4.72734083857358,6.19697289148007,3,6.46420424610177e-05,0.000800918526441901,0.00153719501042278,0.0022285329415978,0.00291987087277282,3,0.645450800489179,4.25871327581467,7.87197575114016,11.60356886118,15.3351619712198
PER_AFFECTED_TIMESTAMP,2011-09-30 11:30:00,ALL_NONCONVEX_VMAX_POCKETS_AT_TIMESTAMP,ALL,ALL,53,1,0.0188679245283019,349.999999999741,349.999999999741,49,49,4,3,1,0.0940462994340123,0.0940462994340123,0.0940462994340123,0.0940462994340123,0.0940462994340123,1,4.13795147092718e-05,4.13795147092718e-05,4.13795147092718e-05,4.13795147092718e-05,4.13795147092718e-05,1,0.300948158188839,0.300948158188839,0.300948158188839,0.300948158188839,0.300948158188839
PER_TIMESTAMP_POCKET,2011-09-30 11:30:00,20110930T113000_C01,POCKET_BUS_CLASS,VMAX / bus 30,53,1,0.0188679245283019,349.999999999741,349.999999999741,49,49,4,3,1,0.0940462994340123,0.0940462994340123,0.0940462994340123,0.0940462994340123,0.0940462994340123,1,4.13795147092718e-05,4.13795147092718e-05,4.13795147092718e-05,4.13795147092718e-05,4.13795147092718e-05,1,0.300948158188839,0.300948158188839,0.300948158188839,0.300948158188839,0.300948158188839
PER_AFFECTED_TIMESTAMP,2011-11-14 19:30:00,ALL_NONCONVEX_VMAX_POCKETS_AT_TIMESTAMP,ALL,ALL,53,2,0.0377358490566038,349.9999999999,335.000000000011,49,47,4,4,2,0.0714499241407793,0.641499219658897,1.21154851517701,1.78159781069513,2.35164710621325,2,4.82229464884302e-05,0.00038339639221671,0.000718569837944991,0.00105374328367327,0.00138891672940155,2,0.380479056427766,1.75830546495641,3.13613187348505,4.51395828201369,5.89178469054233
PER_TIMESTAMP_POCKET,2011-11-14 19:30:00,20111114T193000_C02,POCKET_BUS_CLASS,VMAX / bus 13,53,2,0.0377358490566038,349.9999999999,335.000000000011,49,47,4,4,2,0.0714499241407793,0.641499219658897,1.21154851517701,1.78159781069513,2.35164710621325,2,4.82229464884302e-05,0.00038339639221671,0.000718569837944991,0.00105374328367327,0.00138891672940155,2,0.380479056427766,1.75830546495641,3.13613187348505,4.51395828201369,5.89178469054233
PER_AFFECTED_TIMESTAMP,2011-12-15 05:30:00,ALL_NONCONVEX_VMAX_POCKETS_AT_TIMESTAMP,ALL,ALL,52,2,0.0384615384615385,345.000000000066,340.000000000007,48,46,4,4,2,1.6316025842284,2.11859682579973,2.60559106737105,3.09258530894238,3.5795795505137,2,0.000767054351125424,0.000995429441273784,0.00122380453142215,0.00145217962157051,0.00168055471171887,2,7.8883871466052,8.13168162279121,8.37497609897723,8.61827057516325,8.86156505134926
PER_TIMESTAMP_POCKET,2011-12-15 05:30:00,20111215T053000_C01,POCKET_BUS_CLASS,VMAX / bus 30,52,2,0.0384615384615385,345.000000000066,340.000000000007,48,46,4,4,2,1.6316025842284,2.11859682579973,2.60559106737105,3.09258530894238,3.5795795505137,2,0.000767054351125424,0.000995429441273784,0.00122380453142215,0.00145217962157051,0.00168055471171887,2,7.8883871466052,8.13168162279121,8.37497609897723,8.61827057516325,8.86156505134926
PER_AFFECTED_TIMESTAMP,2012-08-04 03:30:00,ALL_NONCONVEX_VMAX_POCKETS_AT_TIMESTAMP,ALL,ALL,52,2,0.0384615384615385,344.999999999961,339.999999999965,48,46,4,4,2,0.73952337330411,1.15025826612555,1.56099315894699,1.97172805176842,2.38246294458986,2,0.000347191200466065,0.000539624552624195,0.000732057904782326,0.000924491256940456,0.00111692460909859,2,1.78803466210434,4.29054464298814,6.79305462387194,9.29556460475574,11.7980745856395
PER_TIMESTAMP_POCKET,2012-08-04 03:30:00,20120804T033000_C01,POCKET_BUS_CLASS,VMAX / bus 30,52,2,0.0384615384615385,344.999999999961,339.999999999965,48,46,4,4,2,0.73952337330411,1.15025826612555,1.56099315894699,1.97172805176842,2.38246294458986,2,0.000347191200466065,0.000539624552624195,0.000732057904782326,0.000924491256940456,0.00111692460909859,2,1.78803466210434,4.29054464298814,6.79305462387194,9.29556460475574,11.7980745856395
PER_AFFECTED_TIMESTAMP,2012-10-15 13:00:00,ALL_NONCONVEX_VMAX_POCKETS_AT_TIMESTAMP,ALL,ALL,52,2,0.0384615384615385,344.99999999994,340.000000000016,48,46,4,4,2,1.53510056061077,2.06041844816673,2.58573633572269,3.11105422327864,3.6363721108346,2,0.000721751711217436,0.000968114198390983,0.00121447668556453,0.00146083917273808,0.00170720165991162,2,7.4217727107844,10.0673666433009,12.7129605758174,15.3585545083339,18.0041484408504
PER_TIMESTAMP_POCKET,2012-10-15 13:00:00,20121015T130000_C01,POCKET_BUS_CLASS,VMAX / bus 30,52,2,0.0384615384615385,344.99999999994,340.000000000016,48,46,4,4,2,1.53510056061077,2.06041844816673,2.58573633572269,3.11105422327864,3.6363721108346,2,0.000721751711217436,0.000968114198390983,0.00121447668556453,0.00146083917273808,0.00170720165991162,2,7.4217727107844,10.0673666433009,12.7129605758174,15.3585545083339,18.0041484408504
PER_AFFECTED_TIMESTAMP,2013-04-17 05:30:00,ALL_NONCONVEX_VMAX_POCKETS_AT_TIMESTAMP,ALL,ALL,52,1,0.0192307692307692,345.000000000063,345.000000000063,48,47,4,4,1,0.213879108598576,0.213879108598576,0.213879108598576,0.213879108598576,0.213879108598576,1,0.000105971452913383,0.000105971452913383,0.000105971452913383,0.000105971452913383,0.000105971452913383,1,1.12064813960666,1.12064813960666,1.12064813960666,1.12064813960666,1.12064813960666
PER_TIMESTAMP_POCKET,2013-04-17 05:30:00,20130417T053000_C02,POCKET_BUS_CLASS,VMAX / bus 13,52,1,0.0192307692307692,345.000000000063,345.000000000063,48,47,4,4,1,0.213879108598576,0.213879108598576,0.213879108598576,0.213879108598576,0.213879108598576,1,0.000105971452913383,0.000105971452913383,0.000105971452913383,0.000105971452913383,0.000105971452913383,1,1.12064813960666,1.12064813960666,1.12064813960666,1.12064813960666,1.12064813960666
