timestamp,axis,axis_bus,baseline_status,baseline_power_flow_status,baseline_voltage_status,baseline_replay_status,axis_status,initial_step_kW,doubling_steps,bisection_steps,evaluation_count,safe_lower_kW,violating_upper_kW,axis_capacity_kW,capacity_tolerance_kW,bracket_width_kW,safe_Vmin_pu,safe_Vmin_bus,safe_Vmax_pu,safe_Vmax_bus,safe_vmax_bus_set,safe_upper_limit_near_binding_bus_set,safe_voltage_margin_pu,violating_Vmin_pu,violating_Vmin_bus,violating_Vmax_pu,violating_Vmax_bus,violating_vmax_bus_set,violating_upper_limit_near_binding_bus_set,violating_voltage_excess_pu,binding_tolerance_pu,safe_P_sub_kW,safe_Q_sub_kvar,safe_active_loss_kW,safe_reactive_loss_kvar,violating_P_sub_kW,violating_Q_sub_kvar,violating_active_loss_kW,violating_reactive_loss_kvar,safe_replay_status,violating_replay_status,monotonic_Vmax_check,monotonic_status_check,maximum_residual,maximum_primary_replay_voltage_difference,voltage_margin_tolerance_pu,power_stopping_criterion_met,voltage_stopping_criterion_met
2012-10-15 07:30:00,P13_VPP,13,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,6,12,19,1461.82891846,1462.05566406,1461.82891846,1,0.226745605469,0.998305465002,25,1.04999609332,13,13,13,3.90668176786e-06,0.998306181742,25,1.05000494621,13,13,13,4.94620931035e-06,1e-05,-623.286348494,622.42840733,78.2195169651,55.7899624881,-623.489992402,622.444857387,78.242618662,55.8064125457,PASSED,PASSED,true,true,1.65793743854e-14,2.56683563293e-13,1e-05,true,true
2012-10-15 07:30:00,P30_VPP,30,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,7,13,21,2231.85699463,2232.08374023,2231.85699463,1,0.226745605469,0.999261686959,22,1.04999527034,30,30,30,4.7296571728e-06,0.999261799167,22,1.05000147434,30,30,30,1.4743427621e-06,1e-05,-1361.03806762,645.638094618,110.495874007,78.9996497767,-1361.24128611,645.65479955,110.519401131,79.0163547088,PASSED,PASSED,true,true,1.68734040556e-14,3.73701070089e-13,1e-05,true,true
2012-10-15 08:00:00,P13_VPP,13,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,6,12,19,1347.5491333,1347.77587891,1347.5491333,1,0.226745605469,0.998417801295,25,1.04999221714,13,13,13,7.78285503644e-06,0.998418518207,25,1.05000107267,13,13,13,1.0726741424e-06,1e-05,-633.166440654,611.00681221,77.6469298937,55.3791963947,-633.370129431,611.023228251,77.6699867223,55.3956124355,PASSED,PASSED,true,true,1.48898833293e-14,2.71782596428e-13,1e-05,true,true
2012-10-15 08:00:00,P30_VPP,30,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,7,12,20,2172.22290039,2172.6763916,2172.22290039,1,0.453491210938,0.999328416662,22,1.04999214636,30,30,30,7.85364203115e-06,0.999328641175,22,1.05000457249,30,30,30,4.57248536034e-06,1e-05,-1425.79318123,633.713795064,109.69395641,78.0861792482,-1426.19972104,633.74705928,109.740907808,78.1194434643,PASSED,PASSED,true,true,1.62020795288e-14,3.82582854286e-13,1e-05,true,true
2012-10-15 08:30:00,P13_VPP,13,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,6,12,19,1178.17016602,1178.39691162,1178.17016602,1,0.226745605469,0.999131533771,22,1.04999522932,13,13,13,4.77068168014e-06,0.999131646542,22,1.05000410328,13,13,13,4.10328287015e-06,1e-05,-705.239356399,528.593314591,73.7763586497,52.5956171087,-705.443357274,528.609493334,73.7991033805,52.6117958514,PASSED,PASSED,true,true,1.36176743092e-14,2.37809771875e-13,1e-05,true,true
2012-10-15 08:30:00,P30_VPP,30,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,7,13,21,2039.12322998,2039.34997559,2039.12322998,1,0.226745605469,0.999602298906,22,1.04999391409,30,30,30,6.08591165974e-06,0.99960241145,22,1.05000014744,30,30,30,1.47443358856e-07,1e-05,-1533.84195967,551.053786027,106.126819345,75.0560885439,-1534.04560357,551.070094414,106.149921045,75.072396931,PASSED,PASSED,true,true,1.71696350266e-14,4.03899136359e-13,1e-05,true,true
2012-10-15 09:00:00,P13_VPP,13,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,6,12,19,1011.7388916,1011.96563721,1011.7388916,1,0.226745605469,0.999396198578,22,1.04999616726,13,13,13,3.83273837734e-06,0.999396311585,22,1.05000506055,13,13,13,5.06055089589e-06,1e-05,-780.441610477,442.580850952,70.0736678772,49.9201244603,-780.645937911,442.596781333,70.0960860486,49.9360548412,PASSED,PASSED,true,true,1.60023004435e-14,2.40918396344e-13,1e-05,true,true
2012-10-15 09:00:00,P30_VPP,30,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,7,12,20,1905.57006836,1906.02355957,1905.57006836,1,0.453491210938,0.999884740408,22,1.04999056913,30,30,30,9.43086736593e-06,0.999884966098,22,1.05000307676,30,30,30,3.07675837541e-06,1e-05,-1640.41688528,465.70539354,103.929569835,73.0446670479,-1640.82495573,465.737339167,103.974990598,73.0766126748,PASSED,PASSED,true,true,1.8312980716e-14,2.14717132963e-13,1e-05,true,true
2012-10-15 09:30:00,P13_VPP,13,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,5,11,17,915.825500488,916.052246094,915.825500488,1,0.226745605469,0.999421963565,22,1.04999280004,13,13,13,7.19996046361e-06,0.999422076597,22,1.05000169528,13,13,13,1.69528480742e-06,1e-05,-787.690166085,434.195517047,69.7229261399,49.6660340344,-787.894526661,434.211422289,69.7453111702,49.6819392762,PASSED,PASSED,true,true,1.02483868955e-14,2.39808173319e-13,1e-05,true,true
2012-10-15 09:30:00,P30_VPP,30,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,7,12,20,1858.40698242,1858.86047363,1858.40698242,1,0.453491210938,0.999936754541,22,1.0499960514,30,30,30,3.94859793529e-06,0.999936980307,22,1.05000857374,30,30,30,8.57373682428e-06,1e-05,-1694.00922351,458.803609546,105.985350654,74.2741265329,-1694.41737246,458.835438793,106.030692912,74.3059557798,PASSED,PASSED,true,true,1.91170758346e-14,2.10054196259e-13,1e-05,true,true
